,year,month,deaths,cause_cataclysm,cause_heart,cause_stroke
0,2022,1,370382,5,0,5
1,2022,2,291050,4,0,5
2,2022,3,268937,12,1,11
3,2022,4,246767,6,0,1
4,2022,5,255125,8,3,8
5,2022,6,249011,2,1,8
6,2022,7,261015,39,1,5
7,2022,8,259791,8,0,7
8,2022,9,251649,45,1,7
9,2022,10,265718,37,1,3
10,2022,11,268826,7,0,6
11,2022,12,301298,40,3,3
