,year,month,deaths,cause_cataclysm,cause_heart,cause_stroke
0,2019,1,258264,3,0,5
1,2019,2,233313,10,3,4
2,2019,3,255423,28,1,2
3,2019,4,235792,15,1,5
4,2019,5,237441,19,0,7
5,2019,6,226021,5,1,3
6,2019,7,229857,5,1,7
7,2019,8,227828,4,1,5
8,2019,9,223261,12,1,7
9,2019,10,238169,0,0,9
10,2019,11,239573,0,0,9
11,2019,12,256581,4,0,4
