,year,month,deaths,cause_cataclysm,cause_heart,cause_stroke
0,2021,1,373664,2,2,4
1,2021,2,282563,82,0,3
2,2021,3,271067,17,4,6
3,2021,4,257075,1,1,4
4,2021,5,258378,4,2,3
5,2021,6,245288,4,3,5
6,2021,7,257970,15,1,4
7,2021,8,304086,37,3,6
8,2021,9,312554,56,4,2
9,2021,10,300266,6,1,2
10,2021,11,289122,1,2,6
11,2021,12,320087,88,2,8
