,year,month,deaths,cause_cataclysm,cause_heart,cause_stroke
0,2020,1,264692,9,1,8
1,2020,2,244975,8,5,4
2,2020,3,269829,33,4,7
3,2020,4,322443,41,2,3
4,2020,5,280576,7,0,3
5,2020,6,250468,1,1,5
6,2020,7,279029,7,2,2
7,2020,8,277303,24,1,4
8,2020,9,257203,15,3,7
9,2020,10,273926,4,1,8
10,2020,11,302606,6,1,2
11,2020,12,367228,4,1,2
